Token,POS,IsNumeric,Label,DocID,PrevToken,NextToken
for,DT,False,O,176,,
with,IN,False,I-MERGER,40,negotiations,Amazon
is,IN,False,I-ACQUISITION,812,Visa,in
$1.3 billion,CD,True,I-STOCK,328,by,
to,IN,False,I-ACQUISITION,927,talks,acquire
talks,IN,False,I-MERGER,762,merger,with
stock,IN,False,I-STOCK,700,Adobe,surged
in,DT,False,O,551,,
announced,VBD,False,I-MERGER,486,Oracle,a
the,DT,False,O,552,,
and,DT,False,O,627,,
estimates,IN,False,I-EARNINGS,836,earnings,by
earnings,IN,False,I-EARNINGS,706,beat,expectations
expectations,IN,False,I-EARNINGS,971,earnings,with
of,IN,False,I-EARNINGS,63,earnings,$2.4 billion
Oracle,NNP,False,B-MERGER,550,,is
Bank of America,NNP,False,B-MERGER,589,,confirmed
at,DT,False,O,311,,
Adobe,NNP,False,I-MERGER,694,with,
IBM,NNP,False,B-EARNINGS,500,,beat
IBM,NNP,False,B-MERGER,59,,completed
released,IN,False,I-EARNINGS,207,Amazon,its
or,DT,False,O,903,,
with,IN,False,I-MERGER,962,talks,Google
$5.2 billion,CD,True,I-STOCK,76,by,
for,DT,False,O,245,,
the,DT,False,O,949,,
and,DT,False,O,692,,
plans,IN,False,I-ACQUISITION,630,announced,to
Google,NNP,False,B-STOCK,220,,stock
Intel,NNP,False,I-ACQUISITION,7,acquire,
quarterly,IN,False,I-EARNINGS,557,reported,earnings
acquire,IN,False,I-ACQUISITION,709,to,Microsoft
by,DT,False,O,713,,
completed,IN,False,I-MERGER,299,Morgan Stanley,its
the,IN,False,I-MERGER,131,approved,merger
Q4,IN,False,I-EARNINGS,311,its,earnings
successfully,IN,False,I-ACQUISITION,349,Facebook,purchased
$450 million,CD,True,I-STOCK,396,by,
with,DT,False,O,709,,
Tesla,NNP,False,I-ACQUISITION,97,purchased,
$5.2 billion,CD,True,I-STOCK,170,by,
and,DT,False,O,605,,
fell,IN,False,I-STOCK,141,price,$3.1 billion
completed,IN,False,I-MERGER,383,Netflix,its
in,DT,False,O,613,,
$1.3 billion,CD,True,I-EARNINGS,133,of,
for,DT,False,O,510,,
$2.4 billion,CD,True,I-STOCK,261,surged,
in,DT,False,O,275,,
between,IN,False,I-MERGER,927,merger,IBM
announced,VBD,False,I-EARNINGS,155,Morgan Stanley,annual
or,DT,False,O,32,,
its,IN,False,I-EARNINGS,911,released,Q4
increased,IN,False,I-STOCK,851,price,by
announced,VBD,False,I-MERGER,227,Netflix,a
at,DT,False,O,720,,
by,DT,False,O,399,,
PayPal,NNP,False,B-STOCK,245,,stock
beat,IN,False,I-EARNINGS,219,Apple,earnings
in,DT,False,O,442,,
beat,IN,False,I-EARNINGS,388,Visa,earnings
earnings,IN,False,I-EARNINGS,246,quarterly,of
merger,IN,False,I-MERGER,485,in,talks
at,DT,False,O,342,,
by,IN,False,I-EARNINGS,247,estimates,$980 million
merger,IN,False,I-MERGER,304,its,with
of,IN,False,I-ACQUISITION,207,acquisition,IBM
merger,IN,False,I-MERGER,422,ongoing,negotiations
Apple,NNP,False,B-ACQUISITION,565,,acquired
in,IN,False,I-MERGER,799,is,merger
$450 million,CD,True,I-EARNINGS,164,by,
Q4,IN,False,I-EARNINGS,609,its,earnings
showing,IN,False,I-EARNINGS,621,earnings,$450 million
Q4,IN,False,I-EARNINGS,451,its,earnings
earnings,IN,False,I-EARNINGS,594,quarterly,of
Oracle,NNP,False,I-ACQUISITION,722,purchased,
completed,IN,False,I-ACQUISITION,822,Citigroup,the
price,IN,False,I-STOCK,900,stock,increased
for,DT,False,O,834,,
for,DT,False,O,629,,
completed,IN,False,I-MERGER,165,Goldman Sachs,its
completed,IN,False,I-MERGER,347,Microsoft,its
with,IN,False,I-EARNINGS,485,expectations,$450 million
missed,IN,False,I-EARNINGS,948,Microsoft,earnings
on,DT,False,O,476,,
with,DT,False,O,490,,
announced,VBD,False,I-MERGER,737,Microsoft,a
dropped,IN,False,I-STOCK,717,shares,$5.2 billion
$5.2 billion,CD,True,I-STOCK,234,by,
in,IN,False,I-ACQUISITION,846,is,talks
PayPal,NNP,False,I-MERGER,978,with,
or,DT,False,O,990,,
by,DT,False,O,17,,
for,DT,False,O,136,,
$15.7 billion,CD,True,I-EARNINGS,582,showing,
with,DT,False,O,978,,
talks,IN,False,I-ACQUISITION,7,in,to
price,IN,False,I-STOCK,600,stock,fell
by,DT,False,O,180,,
at,DT,False,O,80,,
and,DT,False,O,763,,
the,IN,False,I-MERGER,736,approved,merger
$3.1 billion,CD,True,I-STOCK,141,fell,
Morgan Stanley,NNP,False,B-MERGER,408,,is
between,IN,False,I-MERGER,764,merger,Microsoft
$15.7 billion,CD,True,I-EARNINGS,314,by,
Google,NNP,False,B-MERGER,71,,confirmed
or,DT,False,O,851,,
acquire,IN,False,I-ACQUISITION,108,to,Google
negotiations,IN,False,I-MERGER,218,merger,with
for,DT,False,O,882,,
Netflix,NNP,False,B-ACQUISITION,101,,successfully
with,IN,False,I-MERGER,902,merger,Adobe
in,DT,False,O,88,,
surged,IN,False,I-STOCK,556,stock,$15.7 billion
surged,IN,False,I-STOCK,491,stock,$750 million
its,IN,False,I-MERGER,707,completed,merger
in,DT,False,O,401,,
and,DT,False,O,26,,
Facebook,NNP,False,B-EARNINGS,56,,missed
purchased,IN,False,I-ACQUISITION,346,successfully,Oracle
revenue,IN,False,I-EARNINGS,80,annual,of
Q4,IN,False,I-EARNINGS,914,its,earnings
estimates,IN,False,I-EARNINGS,755,earnings,by
with,DT,False,O,778,,
fell,IN,False,I-STOCK,758,price,$2.4 billion
surged,IN,False,I-STOCK,344,stock,$980 million
with,DT,False,O,983,,
Citigroup,NNP,False,B-STOCK,480,,stock
the,DT,False,O,646,,
for,DT,False,O,347,,
with,IN,False,I-EARNINGS,472,expectations,$450 million
for,DT,False,O,772,,
the,DT,False,O,632,,
$1.3 billion,CD,True,I-EARNINGS,360,showing,
acquisition,IN,False,I-ACQUISITION,793,the,of
annual,IN,False,I-EARNINGS,115,announced,revenue
price,IN,False,I-STOCK,220,stock,increased
with,IN,False,I-EARNINGS,670,expectations,$2.4 billion
Amazon,NNP,False,B-MERGER,294,,approved
Facebook,NNP,False,I-MERGER,260,between,
the,DT,False,O,619,,
fell,IN,False,I-STOCK,945,price,$3.1 billion
announced,VBD,False,I-EARNINGS,612,Intel,annual
of,IN,False,I-ACQUISITION,168,acquisition,Visa
and,DT,False,O,118,,
with,IN,False,I-MERGER,30,talks,Amazon
with,DT,False,O,244,,
Goldman Sachs,NNP,False,B-EARNINGS,565,,released
Facebook,NNP,False,B-ACQUISITION,7,,announced
plans,IN,False,I-ACQUISITION,974,announced,to
Adobe,NNP,False,B-EARNINGS,283,,reported
Oracle,NNP,False,B-ACQUISITION,323,,announced
at,DT,False,O,983,,
$750 million,CD,True,I-EARNINGS,970,with,
with,DT,False,O,736,,
at,DT,False,O,894,,
by,IN,False,I-STOCK,409,increased,$980 million
Facebook,NNP,False,B-ACQUISITION,347,,acquired
increased,IN,False,I-STOCK,282,price,by
in,DT,False,O,791,,
or,DT,False,O,603,,
by,DT,False,O,817,,
earnings,IN,False,I-EARNINGS,994,quarterly,of
Microsoft,NNP,False,I-ACQUISITION,697,acquire,
revenue,IN,False,I-EARNINGS,736,annual,of
for,DT,False,O,484,,
annual,IN,False,I-EARNINGS,377,announced,revenue
for,DT,False,O,721,,
estimates,IN,False,I-EARNINGS,320,earnings,by
beat,IN,False,I-EARNINGS,49,Netflix,earnings
Adobe,NNP,False,B-EARNINGS,603,,missed
Goldman Sachs,NNP,False,I-MERGER,1,with,
$980 million,CD,True,I-STOCK,342,dropped,
with,DT,False,O,341,,
by,IN,False,I-EARNINGS,759,estimates,$3.1 billion
acquire,IN,False,I-ACQUISITION,542,to,Oracle
its,IN,False,I-EARNINGS,254,released,Q4
the,DT,False,O,717,,
with,DT,False,O,246,,
IBM,NNP,False,I-ACQUISITION,477,of,
announced,VBD,False,I-ACQUISITION,821,Amazon,plans
confirmed,IN,False,I-MERGER,125,Bank of America,ongoing
plans,IN,False,I-ACQUISITION,460,announced,to
and,DT,False,O,869,,
by,IN,False,I-EARNINGS,157,estimates,$750 million
and,DT,False,O,416,,
purchased,IN,False,I-ACQUISITION,354,successfully,Goldman Sachs
with,DT,False,O,964,,
of,IN,False,I-ACQUISITION,918,acquisition,Bank of America
the,DT,False,O,878,,
by,DT,False,O,478,,
stock,IN,False,I-STOCK,795,Adobe,price
completed,IN,False,I-ACQUISITION,802,Salesforce,the
annual,IN,False,I-EARNINGS,22,announced,revenue
the,IN,False,I-ACQUISITION,800,completed,acquisition
and,DT,False,O,61,,
on,DT,False,O,561,,
by,DT,False,O,86,,
by,DT,False,O,969,,
in,DT,False,O,37,,
by,DT,False,O,303,,
by,DT,False,O,585,,
or,DT,False,O,543,,
in,DT,False,O,825,,
quarterly,IN,False,I-EARNINGS,954,reported,earnings
in,DT,False,O,530,,
Visa,NNP,False,B-ACQUISITION,905,,acquired
stock,IN,False,I-STOCK,194,Microsoft,surged
purchased,IN,False,I-ACQUISITION,272,successfully,Salesforce
shares,IN,False,I-STOCK,7,Microsoft,dropped
on,DT,False,O,530,,
IBM,NNP,False,B-EARNINGS,123,,beat
between,IN,False,I-MERGER,675,merger,Bank of America
on,DT,False,O,606,,
PayPal,NNP,False,B-STOCK,114,,shares
and,DT,False,O,635,,
dropped,IN,False,I-STOCK,610,shares,$1.3 billion
acquire,IN,False,I-ACQUISITION,301,to,Netflix
JPMorgan,NNP,False,B-EARNINGS,409,,released
Morgan Stanley,NNP,False,I-ACQUISITION,140,of,
merger,IN,False,I-MERGER,148,ongoing,negotiations
its,IN,False,I-MERGER,364,completed,merger
announced,VBD,False,I-EARNINGS,484,Tesla,annual
expectations,IN,False,I-EARNINGS,437,earnings,with
missed,IN,False,I-EARNINGS,836,Apple,earnings
$15.7 billion,CD,True,I-EARNINGS,935,showing,
on,DT,False,O,764,,
by,DT,False,O,814,,
plans,IN,False,I-ACQUISITION,699,announced,to
its,IN,False,I-EARNINGS,323,released,Q4
for,DT,False,O,893,,
shares,IN,False,I-STOCK,588,Visa,declined
between,IN,False,I-MERGER,883,merger,Apple
with,DT,False,O,9,,
of,IN,False,I-EARNINGS,425,revenue,$980 million
Amazon,NNP,False,B-STOCK,34,,shares
successfully,IN,False,I-ACQUISITION,838,Salesforce,purchased
at,DT,False,O,755,,
estimates,IN,False,I-EARNINGS,939,earnings,by
by,IN,False,I-STOCK,915,increased,$750 million
merger,IN,False,I-MERGER,609,a,with
fell,IN,False,I-STOCK,167,price,$450 million
showing,IN,False,I-EARNINGS,414,earnings,$750 million
by,DT,False,O,827,,
at,DT,False,O,687,,
is,IN,False,I-MERGER,999,Tesla,in
dropped,IN,False,I-STOCK,471,shares,$980 million
Citigroup,NNP,False,B-EARNINGS,627,,announced
acquisition,IN,False,I-ACQUISITION,878,the,of
Tesla,NNP,False,B-EARNINGS,503,,announced
increased,IN,False,I-STOCK,418,price,by
by,DT,False,O,560,,
Intel,NNP,False,B-STOCK,72,,stock
or,DT,False,O,909,,
at,DT,False,O,607,,
of,IN,False,I-EARNINGS,316,earnings,$15.7 billion
announced,VBD,False,I-EARNINGS,491,IBM,annual
the,DT,False,O,347,,
earnings,IN,False,I-EARNINGS,822,quarterly,of
of,IN,False,I-EARNINGS,111,revenue,$3.1 billion
dropped,IN,False,I-STOCK,149,shares,$15.7 billion
$3.1 billion,CD,True,I-EARNINGS,338,showing,
ongoing,IN,False,I-MERGER,766,confirmed,merger
on,DT,False,O,796,,
shares,IN,False,I-STOCK,512,Apple,declined
with,DT,False,O,480,,
for,DT,False,O,636,,
$450 million,CD,True,I-STOCK,490,by,
Netflix,NNP,False,I-ACQUISITION,921,acquired,
Tesla,NNP,False,I-MERGER,390,with,
Amazon,NNP,False,I-MERGER,361,between,
Intel,NNP,False,B-STOCK,539,,stock
Oracle,NNP,False,I-MERGER,534,with,
for,DT,False,O,289,,
Adobe,NNP,False,B-ACQUISITION,708,,completed
PayPal,NNP,False,B-EARNINGS,354,,beat
shares,IN,False,I-STOCK,428,Apple,declined
with,IN,False,I-MERGER,537,merger,Bank of America
acquisition,IN,False,I-ACQUISITION,74,the,of
announced,VBD,False,I-ACQUISITION,267,Netflix,plans
on,DT,False,O,399,,
the,DT,False,O,769,,
for,DT,False,O,45,,
Intel,NNP,False,B-STOCK,609,,stock
the,IN,False,I-ACQUISITION,735,completed,acquisition
or,DT,False,O,554,,
completed,IN,False,I-ACQUISITION,85,PayPal,the
with,DT,False,O,996,,
by,DT,False,O,958,,
price,IN,False,I-STOCK,875,stock,fell
with,DT,False,O,636,,
on,DT,False,O,598,,
Citigroup,NNP,False,B-EARNINGS,408,,beat
or,DT,False,O,851,,
in,DT,False,O,140,,
plans,IN,False,I-ACQUISITION,230,announced,to
$450 million,CD,True,I-EARNINGS,164,showing,
Netflix,NNP,False,B-ACQUISITION,31,,announced
PayPal,NNP,False,I-ACQUISITION,366,acquired,
dropped,IN,False,I-STOCK,989,shares,$5.2 billion
and,DT,False,O,377,,
JPMorgan,NNP,False,B-ACQUISITION,634,,announced
talks,IN,False,I-ACQUISITION,796,in,to
IBM,NNP,False,I-MERGER,185,with,
stock,IN,False,I-STOCK,598,Salesforce,price
$980 million,CD,True,I-EARNINGS,16,of,
and,DT,False,O,656,,
in,IN,False,I-ACQUISITION,673,is,talks
$5.2 billion,CD,True,I-STOCK,40,surged,
merger,IN,False,I-MERGER,406,the,between
Citigroup,NNP,False,B-ACQUISITION,97,,acquired
successfully,IN,False,I-ACQUISITION,553,PayPal,purchased
talks,IN,False,I-MERGER,346,merger,with
Adobe,NNP,False,I-MERGER,902,with,
Google,NNP,False,I-MERGER,528,with,
Citigroup,NNP,False,I-MERGER,527,with,
missed,IN,False,I-EARNINGS,769,Visa,earnings
Q4,IN,False,I-EARNINGS,646,its,earnings
Google,NNP,False,I-MERGER,48,between,
at,DT,False,O,417,,
Citigroup,NNP,False,B-MERGER,405,,completed
Netflix,NNP,False,I-MERGER,661,with,
Oracle,NNP,False,I-MERGER,960,between,
with,DT,False,O,959,,
of,IN,False,I-EARNINGS,252,earnings,$750 million
announced,VBD,False,I-MERGER,785,Microsoft,a
of,IN,False,I-EARNINGS,364,earnings,$5.2 billion
or,DT,False,O,126,,
by,DT,False,O,357,,
by,DT,False,O,545,,
and,DT,False,O,715,,
of,IN,False,I-ACQUISITION,964,acquisition,Netflix
on,DT,False,O,785,,
in,DT,False,O,170,,
acquisition,IN,False,I-ACQUISITION,797,the,of
earnings,IN,False,I-EARNINGS,244,quarterly,of
ongoing,IN,False,I-MERGER,125,confirmed,merger
$5.2 billion,CD,True,I-EARNINGS,827,of,
$5.2 billion,CD,True,I-STOCK,406,fell,
at,DT,False,O,100,,
JPMorgan,NNP,False,I-MERGER,219,with,
Q4,IN,False,I-EARNINGS,538,its,earnings
by,DT,False,O,849,,
announced,VBD,False,I-EARNINGS,227,Bank of America,annual
IBM,NNP,False,B-ACQUISITION,127,,acquired
on,DT,False,O,511,,
Adobe,NNP,False,B-STOCK,953,,shares
at,DT,False,O,745,,
for,DT,False,O,588,,
on,DT,False,O,137,,
shares,IN,False,I-STOCK,697,Bank of America,declined
$980 million,CD,True,I-STOCK,440,fell,
on,DT,False,O,237,,
revenue,IN,False,I-EARNINGS,612,annual,of
Tesla,NNP,False,B-MERGER,958,,is
earnings,IN,False,I-EARNINGS,615,quarterly,of
its,IN,False,I-MERGER,397,completed,merger
of,IN,False,I-EARNINGS,865,revenue,$980 million
in,DT,False,O,737,,
the,DT,False,O,728,,
the,IN,False,I-MERGER,245,approved,merger
between,IN,False,I-MERGER,877,merger,Facebook
on,DT,False,O,469,,
purchased,IN,False,I-ACQUISITION,614,successfully,Oracle
with,DT,False,O,777,,
earnings,IN,False,I-EARNINGS,385,Q4,showing
$1.3 billion,CD,True,I-EARNINGS,747,with,
ongoing,IN,False,I-MERGER,771,confirmed,merger
for,DT,False,O,228,,
with,DT,False,O,664,,
the,DT,False,O,23,,
or,DT,False,O,482,,
with,DT,False,O,391,,
announced,VBD,False,I-EARNINGS,451,Goldman Sachs,annual
$750 million,CD,True,I-EARNINGS,705,of,
Morgan Stanley,NNP,False,B-STOCK,370,,stock
of,IN,False,I-EARNINGS,368,earnings,$15.7 billion
at,DT,False,O,900,,
with,IN,False,I-EARNINGS,46,expectations,$980 million
revenue,IN,False,I-EARNINGS,453,annual,of
released,IN,False,I-EARNINGS,675,Microsoft,its
Intel,NNP,False,I-ACQUISITION,800,acquired,
Intel,NNP,False,I-MERGER,836,with,
fell,IN,False,I-STOCK,351,price,$1.3 billion
or,DT,False,O,759,,
by,DT,False,O,113,,
Salesforce,NNP,False,I-ACQUISITION,433,of,
the,DT,False,O,406,,
with,IN,False,I-EARNINGS,652,expectations,$750 million
approved,IN,False,I-MERGER,115,Netflix,the
Goldman Sachs,NNP,False,B-ACQUISITION,213,,completed
Netflix,NNP,False,B-EARNINGS,399,,missed
missed,IN,False,I-EARNINGS,530,Citigroup,earnings
acquire,IN,False,I-ACQUISITION,491,to,Morgan Stanley
annual,IN,False,I-EARNINGS,280,announced,revenue
the,DT,False,O,415,,
earnings,IN,False,I-EARNINGS,986,missed,estimates
Intel,NNP,False,B-MERGER,730,,confirmed
with,DT,False,O,22,,
with,DT,False,O,800,,
dropped,IN,False,I-STOCK,493,shares,$15.7 billion
stock,IN,False,I-STOCK,670,Microsoft,surged
or,DT,False,O,655,,
stock,IN,False,I-STOCK,553,Facebook,surged
Adobe,NNP,False,B-ACQUISITION,317,,successfully
Oracle,NNP,False,I-ACQUISITION,17,purchased,
Goldman Sachs,NNP,False,B-ACQUISITION,347,,is
showing,IN,False,I-EARNINGS,211,earnings,$5.2 billion
on,DT,False,O,905,,
is,IN,False,I-MERGER,929,Visa,in
for,DT,False,O,755,,
$980 million,CD,True,I-EARNINGS,223,of,
talks,IN,False,I-MERGER,998,merger,with
earnings,IN,False,I-EARNINGS,114,quarterly,of
or,DT,False,O,380,,
the,DT,False,O,946,,
with,DT,False,O,460,,
to,IN,False,I-ACQUISITION,215,talks,acquire
PayPal,NNP,False,B-ACQUISITION,675,,is
acquire,IN,False,I-ACQUISITION,89,to,Google
stock,IN,False,I-STOCK,728,Oracle,price
JPMorgan,NNP,False,I-MERGER,65,with,
missed,IN,False,I-EARNINGS,363,JPMorgan,earnings
by,DT,False,O,858,,
Bank of America,NNP,False,I-ACQUISITION,460,acquire,
announced,VBD,False,I-ACQUISITION,971,Intel,plans
ongoing,IN,False,I-MERGER,545,confirmed,merger
Facebook,NNP,False,I-ACQUISITION,333,acquired,
in,DT,False,O,671,,
its,IN,False,I-EARNINGS,84,released,Q4
fell,IN,False,I-STOCK,505,price,$3.1 billion
at,DT,False,O,989,,
$1.3 billion,CD,True,I-STOCK,810,dropped,
is,IN,False,I-ACQUISITION,108,Goldman Sachs,in
at,DT,False,O,949,,
to,IN,False,I-ACQUISITION,144,talks,acquire
approved,IN,False,I-MERGER,979,Salesforce,the
Citigroup,NNP,False,B-MERGER,28,,is
merger,IN,False,I-MERGER,693,in,talks
at,DT,False,O,106,,
stock,IN,False,I-STOCK,612,Microsoft,price
with,DT,False,O,99,,
for,DT,False,O,672,,
by,DT,False,O,606,,
$5.2 billion,CD,True,I-EARNINGS,481,by,
a,IN,False,I-MERGER,370,announced,merger
with,DT,False,O,851,,
at,DT,False,O,728,,
acquire,IN,False,I-ACQUISITION,78,to,Oracle
in,DT,False,O,307,,
by,DT,False,O,677,,
$1.3 billion,CD,True,I-EARNINGS,102,showing,
$15.7 billion,CD,True,I-STOCK,659,by,
showing,IN,False,I-EARNINGS,723,earnings,$3.1 billion
for,DT,False,O,164,,
in,DT,False,O,198,,
with,IN,False,I-EARNINGS,483,expectations,$980 million
Oracle,NNP,False,I-MERGER,576,between,
successfully,IN,False,I-ACQUISITION,572,Intel,purchased
negotiations,IN,False,I-MERGER,40,merger,with
Citigroup,NNP,False,B-MERGER,679,,confirmed
shares,IN,False,I-STOCK,844,JPMorgan,declined
with,DT,False,O,792,,
or,DT,False,O,876,,
in,DT,False,O,148,,
Facebook,NNP,False,B-ACQUISITION,662,,completed
and,DT,False,O,523,,
or,DT,False,O,536,,
on,DT,False,O,794,,
at,DT,False,O,380,,
the,DT,False,O,478,,
by,IN,False,I-EARNINGS,667,estimates,$1.3 billion
annual,IN,False,I-EARNINGS,644,announced,revenue
and,DT,False,O,355,,
acquisition,IN,False,I-ACQUISITION,595,the,of
with,IN,False,I-MERGER,963,talks,Amazon
$3.1 billion,CD,True,I-STOCK,341,by,
by,IN,False,I-STOCK,506,declined,$2.4 billion
and,DT,False,O,999,,
at,DT,False,O,194,,
Facebook,NNP,False,I-MERGER,89,with,
Q4,IN,False,I-EARNINGS,414,its,earnings
successfully,IN,False,I-ACQUISITION,547,Salesforce,purchased
Morgan Stanley,NNP,False,B-EARNINGS,71,,released
by,IN,False,I-STOCK,220,increased,$2.4 billion
beat,IN,False,I-EARNINGS,404,Amazon,earnings
by,IN,False,I-EARNINGS,823,estimates,$15.7 billion
at,DT,False,O,833,,
a,IN,False,I-MERGER,156,announced,merger
$750 million,CD,True,I-EARNINGS,160,with,
stock,IN,False,I-STOCK,889,Adobe,price
by,IN,False,I-STOCK,386,increased,$980 million
purchased,IN,False,I-ACQUISITION,646,successfully,Facebook
declined,IN,False,I-STOCK,60,shares,by
the,DT,False,O,747,,
or,DT,False,O,542,,
the,DT,False,O,140,,
Microsoft,NNP,False,I-ACQUISITION,160,acquired,
in,IN,False,I-ACQUISITION,553,is,talks
in,DT,False,O,732,,
Morgan Stanley,NNP,False,B-ACQUISITION,941,,completed
merger,IN,False,I-MERGER,701,in,talks
talks,IN,False,I-MERGER,43,merger,with
Salesforce,NNP,False,I-ACQUISITION,151,acquired,
acquisition,IN,False,I-ACQUISITION,930,the,of
the,IN,False,I-MERGER,447,approved,merger
earnings,IN,False,I-EARNINGS,778,beat,expectations
with,DT,False,O,228,,
increased,IN,False,I-STOCK,596,price,by
the,DT,False,O,971,,
Intel,NNP,False,I-MERGER,850,with,
to,IN,False,I-ACQUISITION,344,plans,acquire
with,IN,False,I-MERGER,30,merger,Adobe
merger,IN,False,I-MERGER,400,a,with
Visa,NNP,False,I-ACQUISITION,740,acquire,
to,IN,False,I-ACQUISITION,630,talks,acquire
ongoing,IN,False,I-MERGER,620,confirmed,merger
released,IN,False,I-EARNINGS,222,PayPal,its
Apple,NNP,False,B-ACQUISITION,1000,,is
successfully,IN,False,I-ACQUISITION,24,Morgan Stanley,purchased
acquire,IN,False,I-ACQUISITION,405,to,PayPal
and,DT,False,O,135,,
approved,IN,False,I-MERGER,50,JPMorgan,the
Adobe,NNP,False,B-MERGER,397,,completed
or,DT,False,O,931,,
$450 million,CD,True,I-EARNINGS,52,showing,
with,DT,False,O,3,,
earnings,IN,False,I-EARNINGS,168,beat,expectations
for,DT,False,O,653,,
by,IN,False,I-EARNINGS,829,estimates,$1.3 billion
announced,VBD,False,I-EARNINGS,280,Bank of America,annual
with,IN,False,I-MERGER,702,negotiations,Netflix
on,DT,False,O,816,,
for,DT,False,O,892,,
acquisition,IN,False,I-ACQUISITION,14,the,of
at,DT,False,O,542,,
Goldman Sachs,NNP,False,B-ACQUISITION,562,,announced
Oracle,NNP,False,I-MERGER,395,with,
on,DT,False,O,439,,
for,DT,False,O,407,,
and,DT,False,O,315,,
stock,IN,False,I-STOCK,607,Adobe,price
quarterly,IN,False,I-EARNINGS,352,reported,earnings
$2.4 billion,CD,True,I-EARNINGS,411,showing,
in,IN,False,I-MERGER,640,is,merger
estimates,IN,False,I-EARNINGS,574,earnings,by
$3.1 billion,CD,True,I-STOCK,389,fell,
the,DT,False,O,12,,
in,DT,False,O,483,,
Bank of America,NNP,False,B-EARNINGS,359,,beat
and,DT,False,O,257,,
the,IN,False,I-MERGER,971,approved,merger
in,DT,False,O,185,,
and,DT,False,O,326,,
Goldman Sachs,NNP,False,B-ACQUISITION,978,,is
completed,IN,False,I-MERGER,683,Netflix,its
Salesforce,NNP,False,B-MERGER,856,,approved
$2.4 billion,CD,True,I-STOCK,872,dropped,
acquired,VBD,False,I-ACQUISITION,358,JPMorgan,Facebook
the,IN,False,I-ACQUISITION,519,completed,acquisition
the,DT,False,O,107,,
in,DT,False,O,585,,
Visa,NNP,False,I-ACQUISITION,569,of,
by,DT,False,O,800,,
$3.1 billion,CD,True,I-EARNINGS,121,by,
is,IN,False,I-ACQUISITION,898,Amazon,in
for,DT,False,O,732,,
and,DT,False,O,544,,
Google,NNP,False,B-STOCK,875,,stock
on,DT,False,O,626,,
in,DT,False,O,772,,
with,DT,False,O,496,,
by,IN,False,I-STOCK,669,increased,$5.2 billion
$1.3 billion,CD,True,I-EARNINGS,17,of,
of,IN,False,I-ACQUISITION,787,acquisition,Adobe
plans,IN,False,I-ACQUISITION,62,announced,to
and,DT,False,O,17,,
revenue,IN,False,I-EARNINGS,827,annual,of
with,DT,False,O,154,,
by,DT,False,O,937,,
stock,IN,False,I-STOCK,585,IBM,price
Q4,IN,False,I-EARNINGS,36,its,earnings
and,DT,False,O,39,,
or,DT,False,O,868,,
completed,IN,False,I-MERGER,365,Goldman Sachs,its
Microsoft,NNP,False,I-MERGER,101,with,
at,DT,False,O,762,,
$15.7 billion,CD,True,I-EARNINGS,263,with,
completed,IN,False,I-MERGER,253,Intel,its
at,DT,False,O,478,,
announced,VBD,False,I-EARNINGS,874,Oracle,annual
by,IN,False,I-STOCK,437,declined,$3.1 billion
for,DT,False,O,179,,
Adobe,NNP,False,B-ACQUISITION,892,,announced
Citigroup,NNP,False,I-ACQUISITION,774,acquire,
with,DT,False,O,534,,
or,DT,False,O,897,,
Tesla,NNP,False,B-EARNINGS,754,,released
Morgan Stanley,NNP,False,B-MERGER,977,,confirmed
at,DT,False,O,815,,
in,DT,False,O,456,,
at,DT,False,O,599,,
talks,IN,False,I-MERGER,949,merger,with
missed,IN,False,I-EARNINGS,732,Apple,earnings
by,DT,False,O,751,,
and,DT,False,O,825,,
talks,IN,False,I-MERGER,568,merger,with
with,DT,False,O,404,,
PayPal,NNP,False,B-ACQUISITION,446,,announced
in,DT,False,O,916,,
merger,IN,False,I-MERGER,528,a,with
Adobe,NNP,False,B-EARNINGS,286,,released
IBM,NNP,False,B-EARNINGS,753,,missed
$980 million,CD,True,I-STOCK,706,fell,
announced,VBD,False,I-MERGER,82,Google,a
at,DT,False,O,896,,
stock,IN,False,I-STOCK,245,PayPal,price
purchased,IN,False,I-ACQUISITION,232,successfully,Tesla
dropped,IN,False,I-STOCK,294,shares,$2.4 billion
in,IN,False,I-MERGER,701,is,merger
with,DT,False,O,383,,
at,DT,False,O,155,,
acquired,VBD,False,I-ACQUISITION,607,Facebook,Citigroup
Amazon,NNP,False,B-MERGER,470,,confirmed
by,DT,False,O,936,,
Oracle,NNP,False,B-ACQUISITION,260,,completed
at,DT,False,O,900,,
of,IN,False,I-EARNINGS,797,revenue,$15.7 billion
with,DT,False,O,357,,
of,IN,False,I-ACQUISITION,961,acquisition,Google
Citigroup,NNP,False,I-MERGER,324,with,
in,DT,False,O,660,,
confirmed,IN,False,I-MERGER,934,PayPal,ongoing
Morgan Stanley,NNP,False,B-EARNINGS,933,,missed
IBM,NNP,False,B-STOCK,727,,stock
in,DT,False,O,146,,
Microsoft,NNP,False,I-MERGER,347,with,
Adobe,NNP,False,I-ACQUISITION,68,acquired,
missed,IN,False,I-EARNINGS,45,PayPal,earnings
at,DT,False,O,57,,
quarterly,IN,False,I-EARNINGS,873,reported,earnings
at,DT,False,O,526,,
$1.3 billion,CD,True,I-STOCK,585,by,
earnings,IN,False,I-EARNINGS,314,beat,expectations
at,DT,False,O,156,,
